"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rpsa",2.68969204403207e-13,0.421777111974085,0.976,0.846,4.32583171441678e-09,"0","Rpsa"
"Rpl34",2.91067158189373e-13,0.41443037285697,0.998,0.936,4.68123310515968e-09,"0","Rpl34"
"Rps25",6.32162366768869e-13,0.409663702555705,0.991,0.928,1.01670673447437e-08,"0","Rps25"
"Rpl7",2.2651658529441e-12,0.378172113531714,0.97,0.895,3.64306624129e-08,"0","Rpl7"
"Rps11",2.73700313012586e-12,0.308857145412993,0.995,0.939,4.40192213418142e-08,"0","Rps11"
"Rpl37",2.91285624913108e-12,0.274167284472111,0.995,0.966,4.68474670547751e-08,"0","Rpl37"
"Rpl38",4.16746630391796e-12,0.380426865991606,0.988,0.909,6.70253605659126e-08,"0","Rpl38"
"Cd55",6.72264806415431e-12,1.11500770548357,0.446,0.131,1.08120348815794e-07,"0","Cd55"
"Rpl11",8.07190617686966e-12,0.408857731107507,0.99,0.904,1.29820467042595e-07,"0","Rpl11"
"H2-Ob",1.05980980244981e-11,1.20771252597205,0.477,0.106,1.70449210528003e-07,"0","H2-Ob"
"Rps2",1.63491995201456e-11,0.324991900386513,0.972,0.885,2.62944175882502e-07,"0","Rps2"
